row_id,title,artist,album,section,audio_in,duration,question,answer
92b1df,Something's Coming,Matt Cavenaugh,West Side Story (New Broadway Cast Recording - 2009),Broadway,,,Q92b1df,A92b1df
bbd961,Overture,"2003 Broadway Cast of ""Gypsy""",Gypsy (2003 Broadway Cast),Broadway,,,Qbbd961,Abbd961
5c5a0b,42nd Street,"Wanda Richert, Lee Roy Reams & 42nd Street Ensemble",42nd Street - Original Broadway Cast Recording,Broadway,,,Q5c5a0b,A5c5a0b
698543,Tenth Avenue Freeze-Out,Bruce Springsteen,Born To Run,New York,,,Q698543,A698543
2b1e67,"Theme from New York, New York",Frank Sinatra,Ultimate Sinatra: The Centennial Collection,New York,,,Q2b1e67,A2b1e67
379032,On Broadway,George Benson,The George Benson Collection,New York,,,Q379032,A379032
7e08a4,Christmas In Hollis (Bonus Track),Run-DMC,Tougher Than Leather,New York,,,Q7e08a4,A7e08a4
acbe89,Native New Yorker,Odyssey,Odyssey (Expanded Edition),New York,,,Qacbe89,Aacbe89
153019,Empire State of Mind (feat. Alicia Keys),JAY-Z & Alicia Keys,"The Hits Collection, Vol. One (Deluxe Edition)",New York,,,Q153019,A153019
9488f6,Fairytale of New York,The Pogues,If I Should Fall from Grace With God [Expanded],New York,,,Q9488f6,A9488f6
24ee4e,Spanish Harlem,Ben E. King,Spanish Harlem,New York,,,Q24ee4e,A24ee4e
65ef22,The Boy from New York City,The Ad Libs,Discover 60s One Hit Wonders,New York,,,Q65ef22,A65ef22
861953,Lullaby of Broadway (with The Dave Brubeck Trio) [Live],Tony Bennett,"The White House Sessions, Live 1962",New York,,,Q861953,A861953
